contentid,name,has_data,wheelchair,exit,elevator,restroom,parking
2775583,346커피스토리,True,,"출입구에 턱이 없음, 자동문",엘리베이터 있음,,
2891837,강릉커피빵 본점,True,,,,,
3458062,강문달카페,True,,자동문,엘리베이터 있음,,지상에 2면 있음
3534346,더카페 강릉중앙점,True,,"출입구에 턱이 없음, 자동문",,,
2927601,로지커피,True,,경사로 있음,,,
2892089,바우카페,True,,"경사로 있음, 출입구에 턱이 없음",,,
3536522,베이커리가루 입암점,True,,출입구에 턱이 없음,,,
3359671,서원커피랩,True,,"출입구에 턱이 없음, 자동문",엘리베이터 있음,,"위치 : 주출입구 근처/지상주차장, 개수 : 2대"
3534103,에이엠브레드앤커피,True,,경사로 있음,,,
2929266,오드커피,True,,"출입구에 턱이 없음, 자동문",,,
2894231,초당커피,False,,,,,
3548869,카페 가배초당,True,,"출입구까지 경사로 설치되어 있음, 여닫이문",,,
3534416,카페소돌엔,True,,,,,
2894282,카페카모메,False,,,,,
3532862,카페툇마루,True,,,,,
3548864,코너카페,True,,,,,
2913305,키크러스커피,True,,"출입구에 턱이 없음, 여닫이문",,,
1950195,테라로사 커피공장,True,,접근 가능함,,,
3540781,강릉관광호텔,False,,,,,
3537703,루이스호텔(3성급),True,,출입구에 턱이 없음,,,
584282,썬크루즈 호텔&리조트,True,,"출입구에 턱이 없음, 자동문",엘리베이터 있음,장애인 전용 화장실 있음,"위치 : 지상주차장, 개수 : 8대"
3372157,컨피네스 오션 스위트 호텔,True,,출입구에 턱이 없음,엘리베이터 있음,장애인 화장실 있음,장애인 전용 별도 주차칸 있음
2603352,세인트존스 호텔,True,,주출입구는 턱이 없어 휠체어 접근 가능함(자동문),엘리베이터 있음,장애인 화장실 있음,장애인 주차장 있음_무장애 편의시설
