contentid,title,addr1,addr2,mapx,mapy,firstimage
125769,강릉 굴산사지,강원특별자치도 강릉시 구정면 학산리,,128.8918046506,37.7072681694,http://tong.visitkorea.or.kr/cms/resource/22/3025022_image2_1.jpg
128359,강릉 복사꽃마을,강원특별자치도 강릉시 신리천로 527-3 복사꽃정보마을센타,,128.7773762919,37.8801348222,http://tong.visitkorea.or.kr/cms/resource/42/3383742_image2_1.JPG
2702581,강릉 오금집,강원특별자치도 강릉시 강릉대로210번길 23-9 (임당동),,128.8940418219,37.7563708685,http://tong.visitkorea.or.kr/cms/resource/31/3378331_image2_1.JPG
128360,강릉 한울타리마을,강원특별자치도 강릉시 옥계면 북동용소길 137,,128.9747778772,37.6128390281,http://tong.visitkorea.or.kr/cms/resource/99/3378399_image2_1.JPG
129337,강릉 해살이마을,강원특별자치도 강릉시 사천면 중앙서로 557-1,,128.8109759564,37.7929261321,http://tong.visitkorea.or.kr/cms/resource/60/3383760_image2_1.JPG
3542927,강릉교회,강원특별자치도 강릉시 해안로 333 (강문동),,128.9166441773,37.7939586275,
2774698,강릉아트센터,강원특별자치도 강릉시 종합운동장길 84,,128.8954273345,37.7716996777,http://tong.visitkorea.or.kr/cms/resource/95/3531895_image2_1.jpg
3544376,강릉종합사회복지관,"강원특별자치도 강릉시 강변로 510 (입암동, 입암3주공아파트)",,128.9161479051,37.7647425538,
3547638,강릉통일공원안보전시관,강원특별자치도 강릉시 강동면 율곡로 1715-38,"(안인진리, 통일안보전시관)",128.9984085388,37.7204603916,
3546554,강릉항여객터미널,강원특별자치도 강릉시 창해로14번길 51-26 (견소동),,128.9528860105,37.7728923281,
125787,강릉향교,강원특별자치도 강릉시 명륜로 29,(교동),128.8952470467,37.7635561721,http://tong.visitkorea.or.kr/cms/resource/99/3374199_image2_1.JPG
3547899,강문해변화장실,강원특별자치도 강릉시 창해로 344-1 (강문동),,128.9193966990,37.7942253168,
3454461,경포호수광장,강원특별자치도 강릉시 해안로 415 (초당동),,128.9095224784,37.7977913781,http://tong.visitkorea.or.kr/cms/resource/60/3460260_image2_1.jpg
125669,구룡폭포(소금강),강원특별자치도 강릉시 연곡면 소금강길 500,,128.6835093795,37.8026919730,http://tong.visitkorea.or.kr/cms/resource/42/3029842_image2_1.jpg
3532463,굴산사지당간지주,강원특별자치도 강릉시 구정면 금평로 92-50,(학산리 597),128.8875744540,37.7079985585,
125770,금강사(강릉),강원특별자치도 강릉시 연곡면 소금강길 670,(연곡면),128.6909752621,37.8062833683,http://tong.visitkorea.or.kr/cms/resource/25/3069925_image2_1.jpg
2702655,기린사우나,강원특별자치도 강릉시 남부로125번길 18,(노암동),128.8935561515,37.7435306776,
125748,남대천(강릉),강원특별자치도 강릉시 성산면 구산안길,,128.8263881088,37.7141161060,http://tong.visitkorea.or.kr/cms/resource/34/3047934_image2_1.jpg
2753136,노암터널,강원특별자치도 강릉시 노암동 200-4,(노암동),128.9071992254,37.7481081912,http://tong.visitkorea.or.kr/cms/resource/19/3577819_image2_1.jpg
125636,단경골 휴양지,강원특별자치도 강릉시 강동면 단경로 841,,128.9165090423,37.6729253976,http://tong.visitkorea.or.kr/cms/resource/34/3016134_image2_1.jpg
3544074,대한노인회 강릉시지회,강원특별자치도 강릉시 경강로 1956 (홍제동),,128.8840152133,37.7477716674,
585615,도직해변,강원특별자치도 강릉시 옥계면 도직리,,129.0676585323,37.6093412454,http://tong.visitkorea.or.kr/cms/resource/81/3069081_image2_1.jpg
2641014,뒷뜨루관광농원,강원특별자치도 강릉시 사천면 청솔공원길 108,,128.8370445153,37.8353717256,http://tong.visitkorea.or.kr/cms/resource/84/3560184_image2_1.jpg
3351277,라카이 샌드파인 수영장,강원특별자치도 강릉시 해안로 536 (안현동),,128.9033255449,37.8064819183,http://tong.visitkorea.or.kr/cms/resource/73/3380973_image2_1.jpg
2925502,리고엠,강원특별자치도 강릉시 솔올로5번길 51,3층,128.8770014492,37.7641862993,
125768,보현사(강릉),강원특별자치도 강릉시 성산면 보현길 396,,128.7693064482,37.7366262830,http://tong.visitkorea.or.kr/cms/resource/87/3378387_image2_1.JPG
126895,부연동마을,강원특별자치도 강릉시 연곡면 삼산리 1298,,128.6318759309,37.8677834315,http://tong.visitkorea.or.kr/cms/resource/60/3029760_image2_1.jpg
2772889,부연약수,강원특별자치도 강릉시 연곡면 부연동길 964,,128.6404970577,37.8780657396,
2913890,사근진해중공원 전망대,강원특별자치도 강릉시 해안로604번길 16,,128.8988285332,37.8127616594,http://tong.visitkorea.or.kr/cms/resource/39/2921939_image2_1.jpg
2773046,사천진항,강원특별자치도 강릉시 사천면 진리해변길 68-23,,128.8782046462,37.8368418022,http://tong.visitkorea.or.kr/cms/resource/94/2921894_image2_1.jpg
3532403,산계리3층석탑,강원특별자치도 강릉시 옥계면 석화동굴길 238,,128.9182230117,37.5749561892,
3532273,소금강,강원특별자치도 강릉시 연곡면 소금강길 449,,128.7085511391,37.8164769727,
2775500,소돌해수욕장,강원특별자치도 강릉시 주문진읍 해안로 1993,,128.8272654209,37.9062383246,http://tong.visitkorea.or.kr/cms/resource/23/2921823_image2_1.jpg
125791,송담서원(강릉),강원특별자치도 강릉시 강동면 송담서원길 27-7,,128.9292100595,37.6929622184,http://tong.visitkorea.or.kr/cms/resource/19/3047819_image2_1.jpg
2713848,수상한마법학교,강원특별자치도 강릉시 범일로 476 (내곡동),,128.8791661828,37.7305013481,http://tong.visitkorea.or.kr/cms/resource/19/3020019_image2_1.jpg
2775508,순포습지,강원특별자치도 강릉시 사천면 산대월리,,128.8875265360,37.8204549924,http://tong.visitkorea.or.kr/cms/resource/40/3562140_image2_1.jpg
2775497,순포해변,강원특별자치도 강릉시 사천면 해안로 722,,128.8902985428,37.8193190673,http://tong.visitkorea.or.kr/cms/resource/02/2921902_image2_1.jpg
2714439,안반데기,강원특별자치도 강릉시 왕산면 안반데기길 428,,128.7396598347,37.6225888951,http://tong.visitkorea.or.kr/cms/resource/60/3537660_image2_1.jpg
127922,오대산 소금강계곡,강원특별자치도 강릉시 연곡면 삼산리,,128.6576247467,37.8306548995,http://tong.visitkorea.or.kr/cms/resource/13/3577813_image2_1.jpg
128724,오봉서원,강원특별자치도 강릉시 성산면 오봉서원길 28-7,(성산면),128.8194360565,37.7108663466,http://tong.visitkorea.or.kr/cms/resource/55/3047755_image2_1.jpg
3532370,임당동 성당,강원특별자치도 강릉시 임영로 148 (임당동),,128.8920642822,37.7544432749,
3532478,임당생활문화센터,강원특별자치도 강릉시 문화의길 6 (임당동),,128.8950140061,37.7547682949,
2511677,정감이마을,강원특별자치도 강릉시 강동면 둔지길 81,,128.9558541452,37.7168821954,http://tong.visitkorea.or.kr/cms/resource/66/3069066_image2_1.jpg
3545967,정동진,강원특별자치도 강릉시 강동면 정동역길 17,,129.0326035860,37.6914144167,
2774699,정동진조각공원,강원특별자치도 강릉시 강동면 헌화로 950-39,,129.0439806318,37.6820268345,
129029,주문리마을,강원특별자치도 강릉시 주문진읍 주문로 102,주문리마을,128.8271158504,37.8928732039,http://tong.visitkorea.or.kr/cms/resource/63/3069363_image2_1.jpg
