contentid,title,addr1,addr2,mapx,mapy,firstimage
3539725,갈골한과체험전시관,강원특별자치도 강릉시 사천면 중앙서로 62,,128.8433165066,37.8245592109,
1722228,강릉단오제전수교육관,강원특별자치도 강릉시 단오장길 1,(노암동),128.8950253200,37.7481857234,http://tong.visitkorea.or.kr/cms/resource/67/3047867_image2_1.jpg
2706817,강릉시립미술관 교동,강원특별자치도 강릉시 화부산로40번길 46 (교동),,128.8908669769,37.7606064277,http://tong.visitkorea.or.kr/cms/resource/31/3577531_image2_1.jpg
3546624,강릉시청행정역사관 (행정역사관),강원특별자치도 강릉시 강릉대로 33 (홍제동),강릉시청사 18층,128.8779628497,37.7520099488,
3531540,강릉올림픽뮤지엄,강원특별자치도 강릉시 수리골길 102 (포남동),(강릉아레나),128.8971158338,37.7793516031,
2551386,강릉원주대학교 박물관,강원특별자치도 강릉시 죽헌길 7,,128.8700824251,37.7707381838,http://tong.visitkorea.or.kr/cms/resource/40/3383840_image2_1.JPG
2774692,강릉자동차극장,강원특별자치도 강릉시 구정면 칠성로 13-8,,128.8961380184,37.6935226206,http://tong.visitkorea.or.kr/cms/resource/45/3393445_image2_1.JPG
2782914,고래책방,강원특별자치도 강릉시 율곡로 2848 (옥천동),,128.8972525847,37.7582957085,http://tong.visitkorea.or.kr/cms/resource/46/2793046_image2_1.jpg
3532282,단오타운전시관,강원특별자치도 강릉시 단오장길 1 (노암동),,128.8950697583,37.7482551607,
3532413,소금강 돌박물관,강원특별자치도 강릉시 연곡면 진고개로 1698,,128.7261457948,37.8481875285,
130703,숲사랑홍보관,강원특별자치도 강릉시 사천면 미노길 1,,128.8513049021,37.8172213266,http://tong.visitkorea.or.kr/cms/resource/21/3333721_image2_1.jpg
2804197,아르떼뮤지엄 강릉,강원특별자치도 강릉시 난설헌로 131,(초당동),128.9079034181,37.7900894600,http://tong.visitkorea.or.kr/cms/resource/34/3085834_image2_1.jpg
3544745,㈜타임트레인,강원특별자치도 강릉시 강동면 헌화로 990-1,(정동진리),129.0374226949,37.6882676524,
