contentid,title,addr1,addr2,mapx,mapy,firstimage
2868839,가람집옹심이,강원특별자치도 강릉시 공항길30번길 16,,128.9393320379,37.7611934162,http://tong.visitkorea.or.kr/cms/resource/29/2868829_image2_1.jpeg
2685459,갈매기다방,강원특별자치도 강릉시 연곡면 영진길 63,,128.8430040037,37.8703733430,http://tong.visitkorea.or.kr/cms/resource/78/2684778_image2_1.jpg
2670841,감자바우식당,강원특별자치도 강릉시 금성로35번길 4,,128.8970944271,37.7530768644,http://tong.visitkorea.or.kr/cms/resource/12/2670912_image2_1.jpg
3535171,감자적1번지,강원특별자치도 강릉시 공항길29번길 7 (병산동),2층,128.9394291976,37.7629321065,
2868869,감자적본부,강원특별자치도 강릉시 공항길30번길 5 (병산동),,128.9396208746,37.7620461009,http://tong.visitkorea.or.kr/cms/resource/55/2868855_image2_1.jpg
3536478,감천골,강원특별자치도 강릉시 성덕포남로152번길 16 (포남동),,128.9130203491,37.7666922663,
3532769,강나루민물장어,강원특별자치도 강릉시 교동광장로 88 (교동),,128.8742516760,37.7648500577,
3536096,강남흑염소전문점,강원특별자치도 강릉시 사천면 해안로 1121-133,,128.8567647081,37.8434350648,
3535270,강릉 빵명장,강원특별자치도 강릉시 성덕로 107 (병산동),,128.9403651594,37.7650207722,
3537206,강릉 중화짬뽕빵,강원특별자치도 강릉시 금성로13번길 17 (성남동),,128.9001719187,37.7533574475,
2930172,강릉 초당찰떡,강원특별자치도 강릉시 초당순두부길77번길 20,,128.9149249652,37.7914644382,http://tong.visitkorea.or.kr/cms/resource/54/2930154_image2_1.JPG
3536570,강릉 한우타운,강원특별자치도 강릉시 창해로 283 (강문동),,128.9228132064,37.7894287164,
3533722,강릉79막회,강원특별자치도 강릉시 해안로 292 (강문동),7호,128.9202106032,37.7913701078,
3536390,강릉가마솥설렁탕,강원특별자치도 강릉시 사천면 동해대로 3566,,128.8617043626,37.8043730170,
133817,강릉감자옹심 강릉본점,강원특별자치도 강릉시 토성로 171 (임당동),,128.8949084072,37.7564708737,
3532520,강릉국시집,강원특별자치도 강릉시 강릉대로 244 (교동),,128.8969303445,37.7598149707,
2868904,강릉궁짬뽕,강원특별자치도 강릉시 창해로 271,,128.9239547835,37.7890065655,http://tong.visitkorea.or.kr/cms/resource/85/2868885_image2_1.jpg
3544073,강릉김군박군횟집,강원특별자치도 강릉시 난설헌로 203-18 (초당동),,128.9126695775,37.7925975964,
3535112,강릉김밥,강원특별자치도 강릉시 용지로 121 (옥천동),,128.9040047003,37.7600345280,
