contentid,title,addr1,addr2,mapx,mapy,firstimage
kakao-651062866,모퉁이휴게실과책읽는방,강원특별자치도 강릉시 강릉대로 33,,128.875935079954,37.7519959148795,
kakao-1849047002,새냉이작은도서관,강원특별자치도 강릉시 새냉이길27번길 13-5,,128.883139847275,37.7513801107448,
kakao-21814080,홍제힐스테이트아파트문고,강원특별자치도 강릉시 토성로 39,,128.881941287013,37.7504659860487,
kakao-1461505234,강릉미디어촌작은도서관,강원특별자치도 강릉시 선수촌로 23,,128.86795531710328,37.75491442091287,
kakao-152902682,LH꿈뜰작은도서관,강원특별자치도 강릉시 선수촌로 36,,128.86983158066255,37.753276648405404,
kakao-1502831186,강릉SF영어도서관,강원특별자치도 강릉시 홍제로 42,,128.886318192426,37.7519787767669,
kakao-699783902,천년나무작은도서관,강원특별자치도 강릉시 강변로 58,,128.876583217458,37.7428456094429,
kakao-648915082,강릉유천유승한내들더퍼스트 작은도서관,강원특별자치도 강릉시 선수촌로 79-14,,128.86942196964725,37.75976653507992,
kakao-21814196,한라배움터작은도서관,강원특별자치도 강릉시 강변로 114,,128.881798639546,37.7439389369835,
kakao-1422437707,스마트도서관,강원특별자치도 강릉시 솔올로 9,,128.87742233793082,37.76294090884175,
kakao-1181330492,스마트도서관,강원특별자치도 강릉시 범일로 604,,128.880813536476,37.7413683362826,
kakao-1553863978,LH강릉선수촌작은도서관,강원특별자치도 강릉시 선수촌로 117,,128.86892701614937,37.761605806185116,
kakao-21814181,관아작은도서관,강원특별자치도 강릉시 경강로 2045,,128.89189189982966,37.75191823588313,
kakao-9772199,강릉모루도서관,강원특별자치도 강릉시 율곡로 2923-12,,128.891253077874,37.7638115081649,
kakao-411263099,쁘레네작은도서관별찌,강원특별자치도 강릉시 솔올로 63,,128.87849745247763,37.76753608875576,
kakao-24623174,초당작은도서관,강원특별자치도 강릉시 연당길 116,,128.912189146275,37.7873349294109,
kakao-8171189,강릉시립중앙도서관,강원특별자치도 강릉시 강릉대로 448,,128.913112239122,37.7729497908305,
kakao-605283240,강릉아이파크아파트작은도서관,강원특별자치도 강릉시 경강로 2511,,128.934206372915,37.7756546418928,
kakao-1341367722,새마을문고작은도서관,강원특별자치도 강릉시 강릉대로 369-13,,128.905749308007,37.7687135836654,
kakao-1503364774,글마루작은도서관,강원특별자치도 강릉시 종합운동장길 19,,128.891222781239,37.7750941288123,
kakao-21814201,송정해변신도브래뉴아파트작은도서관,강원특별자치도 강릉시 경강로2539번길 22,,128.93963693504367,37.77435102055134,
kakao-1241639593,강릉포남꿈꾸는작은도서관,강원특별자치도 강릉시 경강로2301번길 6,,128.9129185296,37.7683838857746,
kakao-24623236,월대산작은도서관,강원특별자치도 강릉시 성덕포남로 80-21,,128.918247353285,37.7631480427738,
kakao-21732551,포남어울림작은도서관,강원특별자치도 강릉시 성덕포남로149번길 42,,128.908403571545,37.7630160454035,
kakao-21814075,열화당작은도서관,강원특별자치도 강릉시 운정길 63,,128.885122029027,37.7865533177547,
kakao-21851247,스카이문고,강원특별자치도 강릉시 성덕포남로174번길 44,,128.913786983506,37.769540869901,
kakao-2098331720,봄빛작은도서관,강원특별자치도 강릉시 화부산로132번길 2-5,,128.892326490953,37.7647888001674,
kakao-21814182,강릉영어작은도서관,강원특별자치도 강릉시 율곡로 2923-12,,128.891193728262,37.7637980474646,
kakao-7888558,성덕반딧불작은도서관,강원특별자치도 강릉시 강중길 55,,128.908152062691,37.7558782577707,
kakao-1801714530,예꿈작은도서관,강원특별자치도 강릉시 주문진읍 철둑길 9,,128.823461415859,37.8892433306099,
kakao-8337383,명주교육도서관,강원특별자치도 강릉시 주문진읍 해안3길 11,,128.82652091775842,37.885683535099325,
kakao-21814082,꿈쟁이문고,강원특별자치도 강릉시 주문진읍 신리대동길 31,,128.821536663861,37.8819871931704,
kakao-12764444,강원도립대학교 도서관,강원특별자치도 강릉시 주문진읍 연주로 270,,128.831453739959,37.877098499840024,
kakao-21814202,과학산업작은도서관,강원특별자치도 강릉시 과학단지로 106-11,,128.854879213178,37.803284662481,
