contentid,title,addr1,addr2,mapx,mapy,firstimage
2913612,강릉 로뎀나무 펜션,강원특별자치도 강릉시 해안로621번길 12 (안현동),,128.8980175220,37.8118978545,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image2_1.jpg
3102100,강릉 스테이인옥,강원특별자치도 강릉시 칠성로711번길 18-4 (노암동),스테이인옥,128.9052882429,37.7495218794,
2398102,강릉ing게스트하우스,강원특별자치도 강릉시 용지각길 19,(포남동),128.9056239515,37.7615677151,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image2_1.jpg
3540781,강릉관광호텔,강원특별자치도 강릉시 금성로 62 (성내동),,128.8947280147,37.7517436388,
3534495,강릉바다 화이트비치,강원특별자치도 강릉시 사천면 진리해변길 83-1,,128.8765908201,37.8394942414,
3535524,강릉엘모텔,강원특별자치도 강릉시 성덕포남로149번길 14 (포남동),,128.9103095331,37.7650285176,
3539791,강문애,강원특별자치도 강릉시 창해로 245 (강문동),강문애게스트하우스,128.9260435319,37.7874706728,
3537620,게스트하우스아카펠라,강원특별자치도 강릉시 동부시장3길 7 (옥천동),,128.9003689617,37.7585790694,
3534252,경포 그곳에가면,강원특별자치도 강릉시 해안로 381-2 (초당동),,128.9115056778,37.7963415842,
142816,경포 비치 관광 호텔,강원특별자치도 강릉시 해안로406번길 17,(강문동),128.9136859533,37.7990246496,http://tong.visitkorea.or.kr/cms/resource/21/1584021_image2_1.jpg
3534228,경포대 산호 펜션,강원특별자치도 강릉시 해안로406번길 13-5 (강문동),,128.9131276679,37.7991162953,
3540838,경포대오션호텔,강원특별자치도 강릉시 해안로406번길 13-7 (강문동),,128.9127665827,37.7993357075,
2913606,경포도도애견펜션,강원특별자치도 강릉시 하남길 197-15,,128.8856798604,37.8081785994,http://tong.visitkorea.or.kr/cms/resource/71/2920171_image2_1.jpg
3547649,경포비치호텔,강원특별자치도 강릉시 해안로406번길 17 (강문동),,128.9136387347,37.7990607559,
596860,경포에메랄드,강원특별자치도 강릉시 해안로406번길 26,(강문동),128.9147997532,37.7986636022,http://tong.visitkorea.or.kr/cms/resource/19/598219_image2_1.jpg
3540230,고심스테이,강원특별자치도 강릉시 사천면 너다리길 87,,128.8508794218,37.8339666020,
3102105,고현,강원특별자치도 강릉시 명주로55번길 11 (홍제동),,128.8873952430,37.7549264615,
3534426,굿모닝모텔,강원특별자치도 강릉시 창해로 293 (강문동),,128.9220243630,37.7902536057,
2902806,그레이호텔,강원특별자치도 강릉시 하슬라로192번길 6 (교동),,128.8760764538,37.7667165432,http://tong.visitkorea.or.kr/cms/resource/98/2902798_image2_1.jpg
3536383,"기억스테이(ㄱstay), 메모리스테이",강원특별자치도 강릉시 창해로370번길 3 (강문동),,128.9169552033,37.7958000874,
2913643,까사초당,강원특별자치도 강릉시 초당원길 69-1,,128.9135279997,37.7872371221,http://tong.visitkorea.or.kr/cms/resource/00/2920400_image2_1.jpg
3547676,나인모텔(9MOTEL),강원특별자치도 강릉시 강릉대로 267-1 (교동),,128.8984829242,37.7616870066,
2913594,나인원펜션,강원특별자치도 강릉시 안현로 114-12,,128.8705730629,37.8025678434,http://tong.visitkorea.or.kr/cms/resource/21/2920121_image2_1.jpg
3540330,넘버25호텔강릉역점,강원특별자치도 강릉시 옥가로 39 (옥천동),,128.8996467605,37.7599983358,
3543234,니스파크,강원특별자치도 강릉시 경강로2103번길 10 (임당동),,128.8962555229,37.7560098422,
1470072,다빈치모텔,강원특별자치도 강릉시 헌화로 920-40,,129.0419780047,37.6829822412,http://tong.visitkorea.or.kr/cms/resource/55/2992955_image2_1.jpg
3537835,당신의안목,강원특별자치도 강릉시 창해로14번길 6 (견소동),,128.9460088331,37.7734865695,
3547852,더강문,강원특별자치도 강릉시 해안로 376 (초당동),,128.9129333268,37.7963416121,
2595938,더뷰티호텔,강원특별자치도 강릉시 옥천로62번길 19,,128.8995078373,37.7615120471,http://tong.visitkorea.or.kr/cms/resource/02/2596102_image2_1.jpg
3536519,더원,강원특별자치도 강릉시 주문진읍 해안로 1933-1,,128.8295431209,37.9021305123,
3083920,더홍씨호텔 강릉,강원특별자치도 강릉시 교동광장로100번길 8 (교동),,128.8763847983,37.7654611398,http://tong.visitkorea.or.kr/cms/resource/17/3083917_image2_1.jpg
3537689,동경모텔,강원특별자치도 강릉시 옥천로 66-8 (옥천동),,128.8987607250,37.7601344138,
3547877,동궁장모텔,강원특별자치도 강릉시 경강로 2220 (포남동),,128.9064099634,37.7624842914,
3542939,동아호텔,강원특별자치도 강릉시 경강로 2080 (임당동),,128.8949695949,37.7538267363,
