contentid,title,addr1,addr2,mapx,mapy,firstimage,source_file
2891837,강릉커피빵 본점,강원특별자치도 강릉시 창해로350번길 29 (강문동),,128.9170884995,37.7966138849,http://tong.visitkorea.or.kr/cms/resource/29/2891829_image2_1.jpg,candidates_food.csv
3458062,강문달카페,강원특별자치도 강릉시 창해로350번길 21 (강문동),,128.9176218056,37.7959417503,http://tong.visitkorea.or.kr/cms/resource/07/3458007_image2_1.jpg,candidates_food.csv
3534594,공대카페 2호점,강원특별자치도 강릉시 지변길 16 (지변동),1층,128.8731876188,37.7733962700,,candidates_food.csv
3536756,달리는커피 포남점,강원특별자치도 강릉시 강릉대로 337-5 (포남동),,128.9037212006,37.7662338052,,candidates_food.csv
3534346,더카페 강릉중앙점,강원특별자치도 강릉시 중앙시장2길 19 (성남동),,128.8971333263,37.7526241399,,candidates_food.csv
3535741,도자기카페 안다미로,강원특별자치도 강릉시 구정면 구정옥봉길 175,1층,128.8928714943,37.6984136585,,candidates_food.csv
2927601,로지커피,강원특별자치도 강릉시 창해로14번길 52,,128.9499446736,37.7708008460,http://tong.visitkorea.or.kr/cms/resource/79/2927579_image2_1.JPG,candidates_food.csv
2892089,바우카페,강원특별자치도 강릉시 연곡면 해안로 1437,,128.8465287508,37.8682625450,http://tong.visitkorea.or.kr/cms/resource/86/2892086_image2_1.jpg,candidates_food.csv
3536522,베이커리가루 입암점,강원특별자치도 강릉시 월대산로 64 (입암동),1호,128.9174701587,37.7598848077,,candidates_food.csv
2662628,보헤미안 박이추커피,강원특별자치도 강릉시 사천면 해안로 1107,박이추커피공장,128.8669136848,37.8469181930,http://tong.visitkorea.or.kr/cms/resource/38/3560938_image2_1.jpg,candidates_food.csv
2892102,보헤미안박이추커피 본점,강원특별자치도 강릉시 홍질목길 55-11,보헤미안 영진,128.8424431201,37.8646712145,,candidates_food.csv
3536882,보헤미안커피 본점,강원특별자치도 강릉시 연곡면 홍질목길 55-11,,128.8424431201,37.8646712145,,candidates_food.csv
3359671,서원커피랩,강원특별자치도 강릉시 죽헌길 167 (죽헌동),,128.8826948998,37.7797179461,http://tong.visitkorea.or.kr/cms/resource/73/3421573_image2_1.jpg,candidates_food.csv
3536808,아르카디아커피,강원특별자치도 강릉시 하평길 22 (포남동),,128.9112676190,37.7702390445,,candidates_food.csv
3534103,에이엠브레드앤커피,강원특별자치도 강릉시 창해로14번길 24 (견소동),,128.9475503959,37.7723867269,,candidates_food.csv
2929266,오드커피,강원특별자치도 강릉시 해안로 1597,,128.8342323095,37.8788555222,http://tong.visitkorea.or.kr/cms/resource/56/2929256_image2_1.JPG,candidates_food.csv
3534253,오미토리 커피상점 홍제동점,강원특별자치도 강릉시 토성로 22 (홍제동),2층 오미토리 커피상점,128.8819431243,37.7494964273,,candidates_food.csv
